time,v,bsoc,i
1225050,140766,1018,6701
1225550,140763,1019,6698
1226050,140763,1020,6701
1226550,140763,1021,6700
1227050,140762,1022,6698
1227550,140762,1023,6702
1228050,140762,1024,6702
1228550,140763,1025,6705
1229050,140760,1026,6702
1229550,140761,1027,6699
1230050,140760,1028,6698
1230550,140759,1028,6699
1231050,140756,1029,6700
1231550,140756,1030,6703
1232050,140756,1031,6703
1232550,140753,1032,6705
1233050,140753,1033,6699
1233550,140754,1034,6698
1234050,140752,1035,6702
1234550,140752,1036,6703
1235050,140751,1037,6701
1235550,140750,1038,6699
1236050,140750,1039,6702
1236550,140748,1040,6703
1237050,140748,1041,6698
1237550,140749,1041,6705
1238050,140748,1042,6706
1238550,140747,1043,6703
1239050,140744,1044,6700
1239550,140744,1045,6698
1240050,140743,1046,6701
1240550,140743,1047,6700
1241050,140744,1048,6699
1241550,140741,1049,6697
1242050,140741,1050,6701
1242550,140740,1051,6703
1243050,140739,1052,6705
1243550,140741,1053,6699
1244050,140739,1054,6699
1244550,140738,1054,6698
1245050,140736,1055,6701
1245550,140737,1056,6703
1246050,140736,1057,6700
1246550,140735,1058,6700
1247050,140735,1059,6698
1247550,140734,1060,6696
1248050,140732,1061,6698
1248550,140732,1062,6701
1249050,140733,1063,6704
1249550,140731,1064,6700
1250050,140731,1065,6700
1250550,140728,1066,6700
1251050,140728,1067,6703
1251550,140728,1068,6702
1252050,140727,1068,6700
1252550,140727,1069,6702
1253050,140727,1070,6703
1253550,140727,1071,6700
1254050,140726,1072,6700
1254550,140724,1073,6698
1255050,140724,1074,6703
1255550,140724,1075,6704
1256050,140721,1076,6700
1256550,140721,1077,6701
1257050,140719,1078,6698
1257550,140720,1078,6701
1258050,140721,1079,6702
1258550,140721,1080,6697
1259050,140719,1081,6703
1259550,140718,1082,6700
1260050,140717,1083,6699
1260550,140717,1084,6703
1261050,140716,1085,6702
1261550,140714,1086,6703
1262050,140715,1087,6698
1262550,140713,1088,6700
1263050,140713,1089,6700
1263550,140710,1090,6702
1264050,140712,1091,6701
1264550,140711,1092,6699
1265050,140709,1092,6704
1265550,140709,1093,6708
1266050,140710,1094,6702
1266550,140708,1095,6701
1267050,140708,1096,6702
1267550,140707,1097,6702
1268050,140707,1098,6701
1268550,140705,1099,6699
1269050,140704,1100,6707
1269550,140705,1101,6702
1270050,140704,1102,6699
1270550,140704,1103,6701
1271050,140703,1104,6701
1271550,140703,1105,6704
1272050,140702,1105,6705
1272550,140700,1106,6701
1273050,140701,1107,6698
1273550,140701,1108,6700
1274050,140699,1109,6701
1274550,140697,1110,6699
1275050,140697,1111,6701
1275550,140696,1112,6699
1276050,140694,1113,6697
1276550,140694,1114,6699
1277050,140694,1115,6699
1277550,140694,1116,6703
1278050,140693,1117,6697
1278550,140691,1118,6699
1279050,140689,1118,6702
1279550,140689,1119,6699
1280050,140689,1120,6702
1280550,140688,1121,6702
1281050,140689,1122,6699
1281550,140691,1123,6699
1282050,140688,1124,6700
